segment_id,participant_id,session_id,recording_id,event_file,segment_index,stimulus_id,stimulus_role,speaker_id,language,language_source,block_id,analysis_eligible,exclusion_reason,event_count,event_onset_seconds,event_offset_seconds,audio_onset_seconds,audio_offset_seconds,event_template_alignment,alignment_offset_spread_seconds,template_end_seconds,audio_timeline_margin_seconds,audio_file,audio_source_status,audio_bytes,audio_modified_at_utc,audio_sample_rate_hz,audio_channels,audio_frames,audio_duration_seconds,sample_id,subject_id,start_sec,end_sec,split
sub-SD010_ses-01_task-PassiveListen__seg-004,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,sub-SD010/ses-01/sub-SD010_ses-01_task-PassiveListen_events.tsv,4,s3602b-ex01,PASSAGE,s3602b,en,BLOCK_DIRECTORY_AND_EVENT_LEXICON,block-01,True,,318,250.432128533,285.337988533,250.33212853299997,285.94049587993874,PASS,1.9895196601282805e-13,35.00586000000008,0.602507346938701,stimuli/excerpts/Block 1/s3602b-ex01_normed.wav,BUNDLED_BLOCK_AUDIO,3140702,2023-08-18T13:23:50+00:00,44100,1,1570329,35.60836734693878,sub-SD010_ses-01_task-PassiveListen__seg-004,sub-SD010,250.33212853299997,285.94049587993874,train
sub-SD010_ses-01_task-PassiveListen__seg-007,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,sub-SD010/ses-01/sub-SD010_ses-01_task-PassiveListen_events.tsv,7,s4002b-ex01,PASSAGE,s4002b,en,BLOCK_DIRECTORY_AND_EVENT_LEXICON,block-01,True,,390,603.143659458,637.156306458,603.043659458,637.6751560566395,PASS,2.2737367544323206e-13,34.112646999999996,0.5188495986394628,stimuli/excerpts/Block 1/s4002b-ex01_normed.wav,BUNDLED_BLOCK_AUDIO,3054542,2023-08-18T13:23:51+00:00,44100,1,1527249,34.63149659863946,sub-SD010_ses-01_task-PassiveListen__seg-007,sub-SD010,603.043659458,637.6751560566395,train
sub-SD010_ses-01_task-PassiveListen__seg-008,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,sub-SD010/ses-01/sub-SD010_ses-01_task-PassiveListen_events.tsv,8,s3001b-ex01,PASSAGE,s3001b,en,BLOCK_DIRECTORY_AND_EVENT_LEXICON,block-01,True,,485,673.052923124,721.7932701240001,672.952923124,722.1357349153832,PASS,2.2737367544323206e-13,48.840346999999994,0.34246479138322883,stimuli/excerpts/Block 1/s3001b-ex01_normed.wav,BUNDLED_BLOCK_AUDIO,4337968,2023-08-18T13:23:50+00:00,44100,1,2168962,49.18281179138322,sub-SD010_ses-01_task-PassiveListen__seg-008,sub-SD010,672.952923124,722.1357349153832,train
sub-SD010_ses-01_task-PassiveListen__seg-009,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,sub-SD010/ses-01/sub-SD010_ses-01_task-PassiveListen_events.tsv,9,s1401a-ex01,PASSAGE,s1401a,en,BLOCK_DIRECTORY_AND_EVENT_LEXICON,block-01,True,,415,736.503932381,771.269683381,736.403932381,771.688059365127,PASS,2.2737367544323206e-13,34.86575099999998,0.41837598412700316,stimuli/excerpts/Block 1/s1401a-ex01_normed.wav,BUNDLED_BLOCK_AUDIO,3112104,2023-08-18T13:23:49+00:00,44100,1,1556030,35.284126984126985,sub-SD010_ses-01_task-PassiveListen__seg-009,sub-SD010,736.403932381,771.688059365127,train
sub-SD010_ses-01_task-PassiveListen__seg-010,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,sub-SD010/ses-01/sub-SD010_ses-01_task-PassiveListen_events.tsv,10,s1303a-ex01,PASSAGE,s1303a,en,BLOCK_DIRECTORY_AND_EVENT_LEXICON,block-01,True,,311,782.665280197,816.207788197,782.565280197,816.7812212400839,PASS,2.2737367544323206e-13,33.64250799999997,0.5734330430839307,stimuli/excerpts/Block 1/s1303a-ex01_normed.wav,BUNDLED_BLOCK_AUDIO,3017890,2023-08-18T13:23:48+00:00,44100,1,1508923,34.2159410430839,sub-SD010_ses-01_task-PassiveListen__seg-010,sub-SD010,782.565280197,816.7812212400839,train
sub-SD010_ses-01_task-PassiveListen__seg-011,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,sub-SD010/ses-01/sub-SD010_ses-01_task-PassiveListen_events.tsv,11,s2102a-ex01,PASSAGE,s2102a,en,BLOCK_DIRECTORY_AND_EVENT_LEXICON,block-01,True,,295,828.070887052,854.949675052,827.970887052,856.1594584805714,PASS,1.1368683772161603e-13,26.978788000000012,1.2097834285714164,stimuli/excerpts/Block 1/s2102a-ex01_normed.wav,BUNDLED_BLOCK_AUDIO,2486276,2023-08-18T13:23:49+00:00,44100,1,1243116,28.18857142857143,sub-SD010_ses-01_task-PassiveListen__seg-011,sub-SD010,827.970887052,856.1594584805714,train
sub-SD010_ses-01_task-PassiveListen__seg-012,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,sub-SD010/ses-01/sub-SD010_ses-01_task-PassiveListen_events.tsv,12,s2301a-ex01,PASSAGE,s2301a,en,BLOCK_DIRECTORY_AND_EVENT_LEXICON,block-01,True,,206,866.932720501,889.1277825010001,866.832720501,889.3700220883017,PASS,1.1368683772161603e-13,22.295061999999998,0.24223958730159012,stimuli/excerpts/Block 1/s2301a-ex01_normed.wav,BUNDLED_BLOCK_AUDIO,1987834,2023-08-18T13:23:50+00:00,44100,1,993895,22.537301587301588,sub-SD010_ses-01_task-PassiveListen__seg-012,sub-SD010,866.832720501,889.3700220883017,train
sub-SD010_ses-01_task-PassiveListen__seg-013,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,sub-SD010/ses-01/sub-SD010_ses-01_task-PassiveListen_events.tsv,13,s1901b-ex01,PASSAGE,s1901b,en,BLOCK_DIRECTORY_AND_EVENT_LEXICON,block-01,True,,406,901.288025189,938.1334811890001,901.188025189,938.575644236619,PASS,1.1368683772161603e-13,36.945456000000014,0.442163047619033,stimuli/excerpts/Block 1/s1901b-ex01_normed.wav,BUNDLED_BLOCK_AUDIO,3297632,2023-08-18T13:23:49+00:00,44100,1,1648794,37.38761904761905,sub-SD010_ses-01_task-PassiveListen__seg-013,sub-SD010,901.188025189,938.575644236619,train
sub-SD010_ses-01_task-PassiveListen__seg-014,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,sub-SD010/ses-01/sub-SD010_ses-01_task-PassiveListen_events.tsv,14,s3301a-ex01,PASSAGE,s3301a,en,BLOCK_DIRECTORY_AND_EVENT_LEXICON,block-02,True,,255,957.547628885,982.3850928850001,957.4476288850001,983.0317558691271,PASS,1.1368683772161603e-13,24.937463999999952,0.6466629841270333,stimuli/excerpts/Block 2/s3301a-ex01_normed.wav,BUNDLED_BLOCK_AUDIO,2256564,2023-08-18T13:23:54+00:00,44100,1,1128260,25.584126984126986,sub-SD010_ses-01_task-PassiveListen__seg-014,sub-SD010,957.4476288850001,983.0317558691271,train
sub-SD010_ses-01_task-PassiveListen__seg-015,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,sub-SD010/ses-01/sub-SD010_ses-01_task-PassiveListen_events.tsv,15,s0703b-ex01,PASSAGE,s0703b,en,BLOCK_DIRECTORY_AND_EVENT_LEXICON,block-02,True,,419,991.593024134,1030.104309134,991.493024134,1030.527718011551,PASS,3.410605131648481e-13,38.611285,0.42340887755101875,stimuli/excerpts/Block 2/s0703b-ex01_normed.wav,BUNDLED_BLOCK_AUDIO,3442904,2023-08-18T13:23:52+00:00,44100,1,1721430,39.03469387755102,sub-SD010_ses-01_task-PassiveListen__seg-015,sub-SD010,991.493024134,1030.527718011551,train
