variant,seed,latency_ms_per_sample,approx_flops_per_sample,final_theoretical_RF_ms,final_output_time_resolution_ms
early_downsample,11,0.008131956201395951,3001152,39.0,4.0
early_downsample,22,0.007970693695824593,3001152,39.0,4.0
early_downsample,33,0.008007898577488959,3001152,39.0,4.0
late_downsample,11,0.008080885891104117,4639552,23.0,4.0
late_downsample,22,0.008048889139899984,4639552,23.0,4.0
late_downsample,33,0.0080905625509331,4639552,23.0,4.0
uniform_local,11,0.008532110950909555,3197760,11.0,1.0
uniform_local,22,0.008547953257220797,3197760,11.0,1.0
uniform_local,33,0.008452117253909819,3197760,11.0,1.0
exponential_growth,11,0.00857710765558295,3197760,33.0,1.0
exponential_growth,22,0.008598414206062444,3197760,33.0,1.0
exponential_growth,33,0.008557309411116876,3197760,33.0,1.0
delayed_growth,11,0.008570796853746288,3197760,13.0,1.0
delayed_growth,22,0.008534332664567046,3197760,13.0,1.0
delayed_growth,33,0.008538820475223474,3197760,13.0,1.0
parallel_multiscale,11,0.012283106480026618,3450304,59.0,1.0
parallel_multiscale,22,0.012237590635777451,3450304,59.0,1.0
parallel_multiscale,33,0.012204884478705935,3450304,59.0,1.0
rf_stride_coupled,11,0.008016601714189164,1624896,33.0,4.0
rf_stride_coupled,22,0.008024845374166034,1624896,33.0,4.0
rf_stride_coupled,33,0.007997390639502555,1624896,33.0,4.0
rf_dilation_decoupled,11,0.008469259410048835,3197760,33.0,1.0
rf_dilation_decoupled,22,0.00851766235427931,3197760,33.0,1.0
rf_dilation_decoupled,33,0.008470568718621507,3197760,33.0,1.0
kernel_3,11,0.008428595174336806,3197760,11.0,1.0
kernel_3,22,0.008396046905545518,3197760,11.0,1.0
kernel_3,33,0.008406393681070767,3197760,11.0,1.0
kernel_7,11,0.008003874972928315,3505344,27.0,1.0
kernel_7,22,0.007984311014297418,3505344,27.0,1.0
kernel_7,33,0.00794911575212609,3505344,27.0,1.0
kernel_15,11,0.008385323235415854,3958592,59.0,1.0
kernel_15,22,0.008394234464503825,3958592,59.0,1.0
kernel_15,33,0.008439086013822816,3958592,59.0,1.0
kernel_31,11,0.00837402512843255,3191232,123.0,1.0
kernel_31,22,0.00838192499941215,3191232,123.0,1.0
kernel_31,33,0.008385620458284393,3191232,123.0,1.0
event_baseline,11,0.008465634527965449,3197760,11.0,1.0
event_baseline,22,0.008426126441918314,3197760,11.0,1.0
event_baseline,33,0.008400007573072799,3197760,11.0,1.0
explicit_change,11,0.013869738904759288,3224384,11.0,1.0
explicit_change,22,0.013853928248863667,3224384,11.0,1.0
explicit_change,33,0.013839407984050922,3224384,11.0,1.0
ordinary_second_branch,11,0.012885739124612883,3224384,11.0,1.0
ordinary_second_branch,22,0.01284063582716044,3224384,11.0,1.0
ordinary_second_branch,33,0.012806087397621013,3224384,11.0,1.0
