variant,seed,magnitude_ms,probe,metric,value
early_downsample,11,10.0,localization,localization_onset_mae_ms,86.129150390625
early_downsample,11,10.0,localization,localization_shift_recovery_mae_ms,9.301874160766602
early_downsample,11,10.0,discrimination,discrimination_balanced_accuracy,0.5014414524934061
early_downsample,11,10.0,generalization,generalization_jitter_mae_ms,8.242534637451172
early_downsample,11,10.0,generalization,generalization_relative_jitter_error,0.8242534399032593
early_downsample,11,20.0,localization,localization_onset_mae_ms,87.274169921875
early_downsample,11,20.0,localization,localization_shift_recovery_mae_ms,19.99090003967285
early_downsample,11,20.0,discrimination,discrimination_balanced_accuracy,0.49573122894457516
early_downsample,11,20.0,generalization,generalization_jitter_mae_ms,18.254749298095703
early_downsample,11,20.0,generalization,generalization_relative_jitter_error,0.9127374887466431
early_downsample,11,50.0,localization,localization_onset_mae_ms,91.83793640136719
early_downsample,11,50.0,localization,localization_shift_recovery_mae_ms,48.61080551147461
early_downsample,11,50.0,discrimination,discrimination_balanced_accuracy,0.4983441939963679
early_downsample,11,50.0,generalization,generalization_jitter_mae_ms,48.24074172973633
early_downsample,11,50.0,generalization,generalization_relative_jitter_error,0.9648148417472839
early_downsample,22,10.0,localization,localization_onset_mae_ms,93.38575744628906
early_downsample,22,10.0,localization,localization_shift_recovery_mae_ms,11.403946876525879
early_downsample,22,10.0,discrimination,discrimination_balanced_accuracy,0.49487824326811014
early_downsample,22,10.0,generalization,generalization_jitter_mae_ms,8.409197807312012
early_downsample,22,10.0,generalization,generalization_relative_jitter_error,0.8409197926521301
early_downsample,22,20.0,localization,localization_onset_mae_ms,96.51776123046875
early_downsample,22,20.0,localization,localization_shift_recovery_mae_ms,20.004749298095703
early_downsample,22,20.0,discrimination,discrimination_balanced_accuracy,0.514875321119264
early_downsample,22,20.0,generalization,generalization_jitter_mae_ms,18.39877700805664
early_downsample,22,20.0,generalization,generalization_relative_jitter_error,0.919938862323761
early_downsample,22,50.0,localization,localization_onset_mae_ms,110.681396484375
early_downsample,22,50.0,localization,localization_shift_recovery_mae_ms,50.865211486816406
early_downsample,22,50.0,discrimination,discrimination_balanced_accuracy,0.4866619866619867
early_downsample,22,50.0,generalization,generalization_jitter_mae_ms,48.3970947265625
early_downsample,22,50.0,generalization,generalization_relative_jitter_error,0.9679418802261353
early_downsample,33,10.0,localization,localization_onset_mae_ms,82.93978881835938
early_downsample,33,10.0,localization,localization_shift_recovery_mae_ms,10.974925994873047
early_downsample,33,10.0,discrimination,discrimination_balanced_accuracy,0.5059651597865423
early_downsample,33,10.0,generalization,generalization_jitter_mae_ms,8.199910163879395
early_downsample,33,10.0,generalization,generalization_relative_jitter_error,0.8199909925460815
early_downsample,33,20.0,localization,localization_onset_mae_ms,83.4136962890625
early_downsample,33,20.0,localization,localization_shift_recovery_mae_ms,19.996028900146484
early_downsample,33,20.0,discrimination,discrimination_balanced_accuracy,0.5110372729090713
early_downsample,33,20.0,generalization,generalization_jitter_mae_ms,18.195959091186523
early_downsample,33,20.0,generalization,generalization_relative_jitter_error,0.9097979664802551
