model,layer,branch,kernel,stride,dilation,jump_frame_step,theoretical_RF_samples,theoretical_RF_ms,output_length,output_time_resolution_ms
early_downsample,stem,content,3,1,1,1,3,3.0,512,1.0
early_downsample,block1,content,5,2,1,2,7,7.0,256,2.0
early_downsample,block2,content,5,1,1,2,15,15.0,256,2.0
early_downsample,block3,content,5,2,1,4,23,23.0,128,4.0
early_downsample,block4,content,5,1,1,4,39,39.0,128,4.0
late_downsample,stem,content,3,1,1,1,3,3.0,512,1.0
late_downsample,block1,content,5,1,1,1,7,7.0,512,1.0
late_downsample,block2,content,5,1,1,1,11,11.0,512,1.0
late_downsample,block3,content,5,2,1,2,15,15.0,256,2.0
late_downsample,block4,content,5,2,1,4,23,23.0,128,4.0
uniform_local,stem,content,3,1,1,1,3,3.0,512,1.0
uniform_local,block1,content,3,1,1,1,5,5.0,512,1.0
uniform_local,block2,content,3,1,1,1,7,7.0,512,1.0
uniform_local,block3,content,3,1,1,1,9,9.0,512,1.0
uniform_local,block4,content,3,1,1,1,11,11.0,512,1.0
exponential_growth,stem,content,3,1,1,1,3,3.0,512,1.0
exponential_growth,block1,content,3,1,1,1,5,5.0,512,1.0
exponential_growth,block2,content,3,1,2,1,9,9.0,512,1.0
exponential_growth,block3,content,3,1,4,1,17,17.0,512,1.0
exponential_growth,block4,content,3,1,8,1,33,33.0,512,1.0
delayed_growth,stem,content,3,1,1,1,3,3.0,512,1.0
delayed_growth,block1,content,3,1,1,1,5,5.0,512,1.0
delayed_growth,block2,content,3,1,1,1,7,7.0,512,1.0
delayed_growth,block3,content,3,1,1,1,9,9.0,512,1.0
delayed_growth,block4,content,3,1,2,1,13,13.0,512,1.0
parallel_multiscale,stem,content,3,1,1,1,3,3.0,512,1.0
parallel_multiscale,block1_k3,parallel_k3,3,1,1,1,5,5.0,512,1.0
parallel_multiscale,block1_k7,parallel_k7,7,1,1,1,9,9.0,512,1.0
parallel_multiscale,block1_k15,parallel_k15,15,1,1,1,17,17.0,512,1.0
parallel_multiscale,block1_fusion,fusion,1,1,1,1,17,17.0,512,1.0
parallel_multiscale,block2_k3,parallel_k3,3,1,1,1,19,19.0,512,1.0
parallel_multiscale,block2_k7,parallel_k7,7,1,1,1,23,23.0,512,1.0
parallel_multiscale,block2_k15,parallel_k15,15,1,1,1,31,31.0,512,1.0
parallel_multiscale,block2_fusion,fusion,1,1,1,1,31,31.0,512,1.0
parallel_multiscale,block3_k3,parallel_k3,3,1,1,1,33,33.0,512,1.0
parallel_multiscale,block3_k7,parallel_k7,7,1,1,1,37,37.0,512,1.0
parallel_multiscale,block3_k15,parallel_k15,15,1,1,1,45,45.0,512,1.0
parallel_multiscale,block3_fusion,fusion,1,1,1,1,45,45.0,512,1.0
parallel_multiscale,block4_k3,parallel_k3,3,1,1,1,47,47.0,512,1.0
parallel_multiscale,block4_k7,parallel_k7,7,1,1,1,51,51.0,512,1.0
parallel_multiscale,block4_k15,parallel_k15,15,1,1,1,59,59.0,512,1.0
parallel_multiscale,block4_fusion,fusion,1,1,1,1,59,59.0,512,1.0
rf_stride_coupled,stem,content,3,1,1,1,3,3.0,512,1.0
rf_stride_coupled,block1,content,3,2,1,2,5,5.0,256,2.0
rf_stride_coupled,block2,content,3,2,1,4,9,9.0,128,4.0
rf_stride_coupled,block3,content,3,1,1,4,17,17.0,128,4.0
rf_stride_coupled,block4,content,3,1,2,4,33,33.0,128,4.0
rf_dilation_decoupled,stem,content,3,1,1,1,3,3.0,512,1.0
rf_dilation_decoupled,block1,content,3,1,1,1,5,5.0,512,1.0
rf_dilation_decoupled,block2,content,3,1,2,1,9,9.0,512,1.0
rf_dilation_decoupled,block3,content,3,1,4,1,17,17.0,512,1.0
rf_dilation_decoupled,block4,content,3,1,8,1,33,33.0,512,1.0
kernel_3,stem,content,3,1,1,1,3,3.0,512,1.0
kernel_3,block1,content,3,1,1,1,5,5.0,512,1.0
kernel_3,block2,content,3,1,1,1,7,7.0,512,1.0
kernel_3,block3,content,3,1,1,1,9,9.0,512,1.0
kernel_3,block4,content,3,1,1,1,11,11.0,512,1.0
kernel_7,stem,content,3,1,1,1,3,3.0,512,1.0
kernel_7,block1,content,7,1,1,1,9,9.0,512,1.0
kernel_7,block2,content,7,1,1,1,15,15.0,512,1.0
kernel_7,block3,content,7,1,1,1,21,21.0,512,1.0
kernel_7,block4,content,7,1,1,1,27,27.0,512,1.0
kernel_15,stem,content,3,1,1,1,3,3.0,512,1.0
kernel_15,block1,content,15,1,1,1,17,17.0,512,1.0
kernel_15,block2,content,15,1,1,1,31,31.0,512,1.0
kernel_15,block3,content,15,1,1,1,45,45.0,512,1.0
kernel_15,block4,content,15,1,1,1,59,59.0,512,1.0
kernel_31,stem,content,3,1,1,1,3,3.0,512,1.0
kernel_31,block1,content,31,1,1,1,33,33.0,512,1.0
kernel_31,block2,content,31,1,1,1,63,63.0,512,1.0
kernel_31,block3,content,31,1,1,1,93,93.0,512,1.0
kernel_31,block4,content,31,1,1,1,123,123.0,512,1.0
event_baseline,stem,content,3,1,1,1,3,3.0,512,1.0
event_baseline,block1,content,3,1,1,1,5,5.0,512,1.0
event_baseline,block2,content,3,1,1,1,7,7.0,512,1.0
event_baseline,block3,content,3,1,1,1,9,9.0,512,1.0
event_baseline,block4,content,3,1,1,1,11,11.0,512,1.0
explicit_change,content/stem,content,3,1,1,1,3,3.0,512,1.0
explicit_change,content/block1,content,3,1,1,1,5,5.0,512,1.0
explicit_change,content/block2,content,3,1,1,1,7,7.0,512,1.0
