dataset,recording,subject,session,trial,story,n_events,source_events,audio_candidates,audio_path,labels_match,offset_s,max_residual_s,status,physical_audio_sync
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,0,welcome,20,20,2,UNKNOWN,True,136.77342819499987,6.252776074688882e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,1,instructions1,377,377,2,UNKNOWN,True,158.72178215699998,5.400124791776761e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,2,instructions3,70,70,2,UNKNOWN,True,241.889067532,4.831690603168681e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,3,s3602b-ex01,318,318,2,UNKNOWN,True,250.33212853299997,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,4,pleasePressSpace,31,31,2,UNKNOWN,True,522.584308491,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,5,catalan-m01,468,468,3,UNKNOWN,True,569.590603224,6.821210263296962e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,6,s4002b-ex01,390,390,2,UNKNOWN,True,603.043659458,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,7,s3001b-ex01,485,485,2,UNKNOWN,True,672.952923124,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,8,s1401a-ex01,415,415,2,UNKNOWN,True,736.403932381,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,9,s1303a-ex01,311,311,2,UNKNOWN,True,782.565280197,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,10,s2102a-ex01,295,295,2,UNKNOWN,True,827.970887052,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,11,s2301a-ex01,206,206,2,UNKNOWN,True,866.832720501,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,12,s1901b-ex01,406,406,2,UNKNOWN,True,901.188025189,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,13,s3301a-ex01,255,255,2,UNKNOWN,True,957.4476288850001,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,14,s0703b-ex01,419,419,2,UNKNOWN,True,991.493024134,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,15,s4003b-ex01,305,305,2,UNKNOWN,True,1038.54517706,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,16,s3602b-ex02,288,288,2,UNKNOWN,True,1083.34800461,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,17,s2102a-ex02,373,373,2,UNKNOWN,True,1125.10687633,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,18,s3903b-ex01,301,301,2,UNKNOWN,True,1169.65011934,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,19,s2202b-ex02,444,444,2,UNKNOWN,True,1205.64022068,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,20,s1201a-ex01,437,437,2,UNKNOWN,True,1271.36572557,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,21,pleasePressSpace,31,31,2,UNKNOWN,True,1316.0060297900013,5.6843418860808015e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,22,catalan-f01,428,428,3,UNKNOWN,True,1363.0137532199997,5.4569682106375694e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,23,s1303a-ex02,211,211,2,UNKNOWN,True,1379.4955315,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,24,s1501a-ex01,404,404,2,UNKNOWN,True,1427.63795475,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,25,s3201a-ex01,1105,1105,2,UNKNOWN,True,1486.7497196,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,26,s3903b-ex02,325,325,2,UNKNOWN,True,1575.90704986,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,27,pleasePressSpace,31,31,2,UNKNOWN,True,1623.4619730500012,5.6843418860808015e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,28,catalan-m02,451,451,3,UNKNOWN,True,1675.4699557999998,5.4569682106375694e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,29,s1001a-ex01,541,541,2,UNKNOWN,True,1686.75610733,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,30,s1401a-ex02,434,434,2,UNKNOWN,True,1739.13901988,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,31,s3703b-ex01,408,408,2,UNKNOWN,True,1785.41219157,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,32,s3301a-ex02,406,406,2,UNKNOWN,True,1835.81255017,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,33,pleasePressSpace,31,31,2,UNKNOWN,True,1884.0595511200013,5.6843418860808015e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,34,catalan-f02,437,437,3,UNKNOWN,True,1928.0652600100009,5.9117155615240335e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,35,s3102b-ex01,159,159,2,UNKNOWN,True,1945.6163427,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
