dataset,sample_key,neural_rate_hz,audio_rate_hz,neural_offset_s,duration_s,alignment_rule,residual_s,physical_sync,source
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-0,1024.0,SEE_AUDIO_QC_PER_PATH,136.77342819499987,1.9793197278911565,template word/POS/phone+duration match; constant onset offset,9.379164112033322e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-1,1024.0,SEE_AUDIO_QC_PER_PATH,158.72178215699998,35.22081632653061,template word/POS/phone+duration match; constant onset offset,9.947598300641403e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-2,1024.0,SEE_AUDIO_QC_PER_PATH,241.889067532,6.248140589569161,template word/POS/phone+duration match; constant onset offset,9.663381206337363e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-3,1024.0,SEE_AUDIO_QC_PER_PATH,250.33212853299997,35.60836734693878,template word/POS/phone+duration match; constant onset offset,1.9895196601282805e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-4,1024.0,SEE_AUDIO_QC_PER_PATH,522.584308491,3.44312925170068,template word/POS/phone+duration match; constant onset offset,9.094947017729282e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-5,1024.0,SEE_AUDIO_QC_PER_PATH,569.590603224,3.44312925170068,template word/POS/phone+duration match; constant onset offset,1.1368683772161603e-12,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-6,1024.0,SEE_AUDIO_QC_PER_PATH,603.043659458,34.63149659863946,template word/POS/phone+duration match; constant onset offset,2.2737367544323206e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-7,1024.0,SEE_AUDIO_QC_PER_PATH,672.952923124,49.18281179138322,template word/POS/phone+duration match; constant onset offset,2.2737367544323206e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-8,1024.0,SEE_AUDIO_QC_PER_PATH,736.403932381,35.284126984126985,template word/POS/phone+duration match; constant onset offset,2.2737367544323206e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-9,1024.0,SEE_AUDIO_QC_PER_PATH,782.565280197,34.2159410430839,template word/POS/phone+duration match; constant onset offset,2.2737367544323206e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-10,1024.0,SEE_AUDIO_QC_PER_PATH,827.970887052,28.18857142857143,template word/POS/phone+duration match; constant onset offset,1.1368683772161603e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-11,1024.0,SEE_AUDIO_QC_PER_PATH,866.832720501,22.537301587301588,template word/POS/phone+duration match; constant onset offset,1.1368683772161603e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-12,1024.0,SEE_AUDIO_QC_PER_PATH,901.188025189,37.38761904761905,template word/POS/phone+duration match; constant onset offset,1.1368683772161603e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-13,1024.0,SEE_AUDIO_QC_PER_PATH,957.4476288850001,25.584126984126986,template word/POS/phone+duration match; constant onset offset,1.1368683772161603e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-14,1024.0,SEE_AUDIO_QC_PER_PATH,991.493024134,39.03469387755102,template word/POS/phone+duration match; constant onset offset,3.410605131648481e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-15,1024.0,SEE_AUDIO_QC_PER_PATH,1038.54517706,25.393945578231293,template word/POS/phone+duration match; constant onset offset,4.547473508864641e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-16,1024.0,SEE_AUDIO_QC_PER_PATH,1083.34800461,32.8990022675737,template word/POS/phone+duration match; constant onset offset,2.2737367544323206e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-17,1024.0,SEE_AUDIO_QC_PER_PATH,1125.10687633,36.367437641723356,template word/POS/phone+duration match; constant onset offset,2.2737367544323206e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-18,1024.0,SEE_AUDIO_QC_PER_PATH,1169.65011934,26.25294784580499,template word/POS/phone+duration match; constant onset offset,2.2737367544323206e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-19,1024.0,SEE_AUDIO_QC_PER_PATH,1205.64022068,54.52736961451247,template word/POS/phone+duration match; constant onset offset,4.547473508864641e-13,UNKNOWN,/home/fanyu/auditory_simulation_m6a/pub_01/s06/ds004703_qc_20260919_v2/audio_neural_pairing_audit.csv
