dataset,item,reason,action
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-0,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-1,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-2,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-4,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-5,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,EXCLUDE_SEGMENT
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-21,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-22,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,EXCLUDE_SEGMENT
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-27,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-28,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,EXCLUDE_SEGMENT
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-33,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-34,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-0,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-1,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-2,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-10,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-11,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-21,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-22,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-29,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-30,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-39,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-40,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-48,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-49,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-60,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
ds004703,sub-SD011_ses-01_task-PassiveListen__trial-61,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,EXCLUDE_SEGMENT
ds004703,sub-SD012_ses-01_task-PassiveListen__trial-0,CONTROL_NOT_PASSAGE,EXCLUDE_SEGMENT
