dataset,sample_key,subject,session,recording,story,block,eligible,split,leakage_guard
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-0,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,welcome,NOT_APPLICABLE,False,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-1,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,instructions1,NOT_APPLICABLE,False,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-2,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,instructions3,NOT_APPLICABLE,False,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-3,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,s3602b-ex01,Block 1,True,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-4,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,pleasePressSpace,NOT_APPLICABLE,False,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-5,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,catalan-m01,Block 1,False,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-6,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,s4002b-ex01,Block 1,True,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-7,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,s3001b-ex01,Block 1,True,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-8,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,s1401a-ex01,Block 1,True,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-9,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,s1303a-ex01,Block 1,True,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-10,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,s2102a-ex01,Block 1,True,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
ds004703,sub-SD010_ses-01_task-PassiveListen__trial-11,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,s2301a-ex01,Block 1,True,UNASSIGNED,No adjacent-time random split; subject/session/story keys retained; train-only fitted transforms
