dataset,recording,subject,session,server_path,bytes,sample_rate_hz,metadata_sample_rate_hz,channels,samples,duration_s,events,event_out_of_bounds,first_second_nonfinite,reference,sample_scope
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD010/ses-01/ieeg/sub-SD010_ses-01_task-PassiveListen_ieeg.edf,1506531536,1024.0,1024.0,276,2718016,2654.3125,15359,0,0,"scalp electrode, not included with data",header + first second only; not full QC
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD011/ses-01/ieeg/sub-SD011_ses-01_task-PassiveListen_ieeg.edf,1833841408,1024.0,1024.0,276,3322048,3244.1875,22941,0,0,"scalp electrode, not included with data",header + first second only; not full QC
ds004703,sub-SD012_ses-01_task-PassiveListen,sub-SD012,ses-01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD012/ses-01/ieeg/sub-SD012_ses-01_task-PassiveListen_ieeg.edf,538464512,512.0,512.0,148,1819008,3552.75,1699,0,0,"scalp electrode, not included with data",header + first second only; not full QC
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD012/ses-02/ieeg/sub-SD012_ses-02_task-PassiveListen_ieeg.edf,394035456,512.0,512.0,148,1331072,2599.75,19467,0,0,"scalp electrode, not included with data",header + first second only; not full QC
ds004703,sub-SD013_ses-01_task-PassiveListen,sub-SD013,ses-01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD013/ses-01/ieeg/sub-SD013_ses-01_task-PassiveListen_ieeg.edf,1420838144,1024.0,1024.0,148,4800000,4687.5,7011,0,0,"scalp electrode, not included with data",header + first second only; not full QC
ds004703,sub-SD015_ses-01_task-PassiveListen,sub-SD015,ses-01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD015/ses-01/ieeg/sub-SD015_ses-01_task-PassiveListen_ieeg.edf,1129471744,1024.0,1024.0,276,2046016,1998.0625,2788,0,0,"scalp electrode, not included with data",header + first second only; not full QC
ds004703,sub-SD017_ses-01_task-PassiveListen,sub-SD017,ses-01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD017/ses-01/ieeg/sub-SD017_ses-01_task-PassiveListen_ieeg.edf,173792512,512.0,512.0,148,587008,1146.5,7104,0,0,"scalp electrode, not included with data",header + first second only; not full QC
ds004703,sub-SD018_ses-01_task-PassiveListen,sub-SD018,ses-01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD018/ses-01/ieeg/sub-SD018_ses-01_task-PassiveListen_ieeg.edf,817400064,1024.0,1024.0,276,1470016,1435.5625,7104,0,0,"scalp electrode, not included with data",header + first second only; not full QC
ds004703,sub-SD019_ses-01_task-PassiveListen,sub-SD019,ses-01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD019/ses-01/ieeg/sub-SD019_ses-01_task-PassiveListen_ieeg.edf,2168195488,1024.0,1024.0,278,3882048,3791.0625,22972,0,0,"scalp electrode, not included with data",header + first second only; not full QC
ds004703,sub-SD021_ses-01_task-PassiveListen,sub-SD021,ses-01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD021/ses-01/ieeg/sub-SD021_ses-01_task-PassiveListen_ieeg.edf,968632320,512.0,512.0,277,1742016,3402.375,22972,0,0,"scalp electrode, not included with data",header + first second only; not full QC
ds004703,sub-SD022_ses-01_task-PassiveListen,sub-SD022,ses-01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/sub-SD022/ses-01/ieeg/sub-SD022_ses-01_task-PassiveListen_ieeg.edf,1865216192,1024.0,1024.0,278,3341056,3262.75,22972,0,0,"scalp electrode, not included with data",header + first second only; not full QC
