dataset,recording,item,reason
ds004703,sub-SD010_ses-01_task-PassiveListen,C3,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,Cz,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C4,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C136,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C137,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C138,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C139,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C140,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C141,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C142,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C143,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C144,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C145,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C146,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C147,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C148,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C149,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C150,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C151,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C152,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C153,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C154,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C155,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C156,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C157,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C158,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C159,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C160,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C161,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C162,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C163,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C164,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C165,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C166,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C167,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C168,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C169,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C170,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C171,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C172,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C173,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C174,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C175,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C176,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C177,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C178,README unused C-prefix channel; exclude at S06
