dataset,version,file_id,relative_path,bytes,restricted,content_type,source_url
SparrKULee,3.1,137073,.bids-validator-config.json,127,False,application/json,https://rdr.kuleuven.be/api/access/datafile/137073
SparrKULee,3.1,137076,.bidsignore,361,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137076
SparrKULee,3.1,136072,derivatives/preprocessed_stimuli/.save_metadata.json,3616,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136072
SparrKULee,3.1,136121,derivatives/preprocessed_eeg/.save_metadata.json,133261,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136121
SparrKULee,3.1,137074,README.md,874,False,text/markdown,https://rdr.kuleuven.be/api/access/datafile/137074
SparrKULee,3.1,37315,stimuli/eeg/audiobook_1.apx,9586,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37315
SparrKULee,3.1,137123,derivatives/preprocessed_stimuli/audiobook_1.data_dict,360223306,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137123
SparrKULee,3.1,37109,stimuli/eeg/audiobook_1.npz.gz,74745340,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37109
SparrKULee,3.1,37090,stimuli/eeg/audiobook_1.xml,9387,False,text/xml,https://rdr.kuleuven.be/api/access/datafile/37090
SparrKULee,3.1,37257,stimuli/eeg/audiobook_10_1.apx,9723,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37257
SparrKULee,3.1,136091,derivatives/preprocessed_stimuli/audiobook_10_1.data_dict,236656530,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136091
SparrKULee,3.1,37067,stimuli/eeg/audiobook_10_1.npz.gz,49434153,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37067
SparrKULee,3.1,136108,derivatives/preprocessed_stimuli/audiobook_10_1_envelope.npy,315256,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136108
SparrKULee,3.1,37172,stimuli/eeg/audiobook_10_2.apx,9727,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37172
SparrKULee,3.1,137130,derivatives/preprocessed_stimuli/audiobook_10_2.data_dict,250498962,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137130
SparrKULee,3.1,37314,stimuli/eeg/audiobook_10_2.npz.gz,51420526,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37314
SparrKULee,3.1,137155,derivatives/preprocessed_stimuli/audiobook_10_2_envelope.npy,333688,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137155
SparrKULee,3.1,37102,stimuli/eeg/audiobook_11_1.apx,9923,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37102
SparrKULee,3.1,136112,derivatives/preprocessed_stimuli/audiobook_11_1.data_dict,304296738,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136112
SparrKULee,3.1,37159,stimuli/eeg/audiobook_11_1.npz.gz,64466388,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37159
SparrKULee,3.1,136073,derivatives/preprocessed_stimuli/audiobook_11_1_envelope.npy,405320,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136073
SparrKULee,3.1,37237,stimuli/eeg/audiobook_11_2.apx,9820,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37237
SparrKULee,3.1,137122,derivatives/preprocessed_stimuli/audiobook_11_2.data_dict,228932386,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137122
SparrKULee,3.1,37270,stimuli/eeg/audiobook_11_2.npz.gz,47318222,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37270
SparrKULee,3.1,137116,derivatives/preprocessed_stimuli/audiobook_11_2_envelope.npy,304968,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137116
SparrKULee,3.1,37301,stimuli/eeg/audiobook_12_1.apx,9787,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37301
SparrKULee,3.1,136055,derivatives/preprocessed_stimuli/audiobook_12_1.data_dict,253772170,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136055
SparrKULee,3.1,37062,stimuli/eeg/audiobook_12_1.npz.gz,52550609,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37062
SparrKULee,3.1,137143,derivatives/preprocessed_stimuli/audiobook_12_1_envelope.npy,338040,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137143
SparrKULee,3.1,37338,stimuli/eeg/audiobook_12_2.apx,9808,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37338
SparrKULee,3.1,137145,derivatives/preprocessed_stimuli/audiobook_12_2.data_dict,292223370,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137145
SparrKULee,3.1,37275,stimuli/eeg/audiobook_12_2.npz.gz,59622092,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37275
SparrKULee,3.1,137117,derivatives/preprocessed_stimuli/audiobook_12_2_envelope.npy,389240,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137117
SparrKULee,3.1,37303,stimuli/eeg/audiobook_13_1.apx,9814,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37303
SparrKULee,3.1,137151,derivatives/preprocessed_stimuli/audiobook_13_1.data_dict,385074074,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137151
SparrKULee,3.1,37236,stimuli/eeg/audiobook_13_1.npz.gz,87580412,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37236
SparrKULee,3.1,137112,derivatives/preprocessed_stimuli/audiobook_13_1_envelope.npy,512880,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137112
SparrKULee,3.1,37264,stimuli/eeg/audiobook_13_2.apx,9836,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37264
SparrKULee,3.1,136056,derivatives/preprocessed_stimuli/audiobook_13_2.data_dict,327397282,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136056
SparrKULee,3.1,37141,stimuli/eeg/audiobook_13_2.npz.gz,74973070,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37141
SparrKULee,3.1,136071,derivatives/preprocessed_stimuli/audiobook_13_2_envelope.npy,436080,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136071
SparrKULee,3.1,37096,stimuli/eeg/audiobook_14_1.apx,9839,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37096
