story,canonical,alternative,same_shape,exact_waveform,max_abs_difference
catalan-m01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/catalan-m01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-m01_normed.wav,True,True,0.0
catalan-m01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/catalan-m01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/catalan_v2/catalan-m01_normed.wav,False,False,NOT_COMPARABLE
s1303a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1303a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1303a-ex01_normed.wav,True,True,0.0
s1401a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1401a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401a-ex01_normed.wav,True,True,0.0
s1901b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1901b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1901b-ex01_normed.wav,True,True,0.0
s2102a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s2102a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2102a-ex01_normed.wav,True,True,0.0
s2301a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s2301a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2301a-ex01_normed.wav,True,True,0.0
s3001b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3001b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3001b-ex01_normed.wav,True,True,0.0
s3602b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3602b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3602b-ex01_normed.wav,True,True,0.0
s4002b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s4002b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s4002b-ex01_normed.wav,True,True,0.0
catalan-f01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/catalan-f01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-f01_normed.wav,True,True,0.0
catalan-f01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/catalan-f01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/catalan_v2/catalan-f01_normed.wav,False,False,NOT_COMPARABLE
s0703b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s0703b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0703b-ex01_normed.wav,True,True,0.0
s1201a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s1201a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1201a-ex01_normed.wav,True,True,0.0
s2102a-ex02,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s2102a-ex02_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2102a-ex02_normed.wav,True,True,0.0
s2202b-ex02,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s2202b-ex02_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2202b-ex02_normed.wav,True,True,0.0
s3301a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3301a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3301a-ex01_normed.wav,True,True,0.0
s3602b-ex02,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3602b-ex02_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3602b-ex02_normed.wav,True,True,0.0
