dataset,subject,session,recording,trial,story,block,audio_path,n_events,labels_match,offset_s,offset_spread_s,audio_duration_s,template_margin_s,eligible,reason,physical_sync,split
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,0,welcome,NOT_APPLICABLE,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/welcome_normed.wav,20,True,136.77342819499987,9.379164112033322e-13,1.9793197278911565,0.21420958380994382,False,CONTROL_NOT_PASSAGE,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,1,instructions1,NOT_APPLICABLE,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/instructions1_normed.wav,377,True,158.72178215699998,9.947598300641403e-13,35.22081632653061,0.23920634694577103,False,CONTROL_NOT_PASSAGE,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,2,instructions3,NOT_APPLICABLE,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/instructions3_normed.wav,70,True,241.889067532,9.663381206337363e-13,6.248140589569161,0.3916587466441728,False,CONTROL_NOT_PASSAGE,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,3,s3602b-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3602b-ex01_normed.wav,318,True,250.33212853299997,1.9895196601282805e-13,35.60836734693878,0.602507346938701,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,4,pleasePressSpace,NOT_APPLICABLE,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/pleasePressSpace_normed.wav,31,True,522.584308491,9.094947017729282e-13,3.44312925170068,0.520682459428583,False,CONTROL_NOT_PASSAGE,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,5,catalan-m01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/catalan-m01_normed.wav,468,True,569.590603224,1.1368683772161603e-12,3.44312925170068,-43.204500066898774,False,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,6,s4002b-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s4002b-ex01_normed.wav,390,True,603.043659458,2.2737367544323206e-13,34.63149659863946,0.5188495986394628,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,7,s3001b-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3001b-ex01_normed.wav,485,True,672.952923124,2.2737367544323206e-13,49.18281179138322,0.34246479138322883,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,8,s1401a-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1401a-ex01_normed.wav,415,True,736.403932381,2.2737367544323206e-13,35.284126984126985,0.41837598412700316,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,9,s1303a-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1303a-ex01_normed.wav,311,True,782.565280197,2.2737367544323206e-13,34.2159410430839,0.5734330430839307,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
