recording,item,kind,reason
sub-SD010_ses-01_task-PassiveListen,LA9,channel,OFFICIAL_BAD:artifacts
sub-SD010_ses-01_task-PassiveListen,LA10,channel,OFFICIAL_BAD:artifacts
sub-SD010_ses-01_task-PassiveListen,RAC8,channel,OFFICIAL_BAD:artifacts
sub-SD010_ses-01_task-PassiveListen,Fp1,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,F7,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,T3,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,T1,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,T5,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,O1,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,A1,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,F3,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,C3,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,P3,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,Fz,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,Cz,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,PZ,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,Fp2,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,F8,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,T4,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,T2,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,T6,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,O2,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,A2,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,F4,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,C4,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,P4,channel,OFFICIAL_BAD:noise
sub-SD010_ses-01_task-PassiveListen,EKG2,channel,NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,EKG4,channel,NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C136,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C137,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C138,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
