path,shape,dtype,samples,channels,nonfinite,flat_channels,role,source_recording,story,paired_feature_path,paired_samples,sample_count_difference,sampling_rate_hz,channel_names,units,status,reason,scan
/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-05_desc-preproc-audio-audiobook_2_1_eeg.npy,"(64, 50752)",float64,50752,64,0,0,EEG,sub-001_ses-shortstories01_task-listeningActive_run-05_eeg.bdf.gz,audiobook_2_1,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_2_1_envelope.npy,50619,133,64_PUBLISHER_PIPELINE_NOT_PER_FILE_VERIFIED,UNKNOWN_NPY_HAS_NO_NAMES,UNKNOWN_NPY_HAS_NO_UNITS,HOLD,PAIR_LENGTH_MISMATCH,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-06_desc-preproc-audio-audiobook_2_2_eeg.npy,"(64, 50752)",float64,50752,64,0,0,EEG,sub-001_ses-shortstories01_task-listeningActive_run-06_eeg.bdf.gz,audiobook_2_2,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_2_2_envelope.npy,48747,2005,64_PUBLISHER_PIPELINE_NOT_PER_FILE_VERIFIED,UNKNOWN_NPY_HAS_NO_NAMES,UNKNOWN_NPY_HAS_NO_UNITS,HOLD,PAIR_LENGTH_MISMATCH,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-07_desc-preproc-audio-audiobook_4_eeg.npy,"(64, 52224)",float64,52224,64,0,0,EEG,sub-001_ses-shortstories01_task-listeningActive_run-07_eeg.bdf.gz,audiobook_4,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_4_envelope.npy,52060,164,64_PUBLISHER_PIPELINE_NOT_PER_FILE_VERIFIED,UNKNOWN_NPY_HAS_NO_NAMES,UNKNOWN_NPY_HAS_NO_UNITS,HOLD,PAIR_LENGTH_MISMATCH,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-09_desc-preproc-audio-audiobook_6_1_eeg.npy,"(64, 53440)",float64,53440,64,0,0,EEG,sub-001_ses-shortstories01_task-listeningActive_run-09_eeg.bdf.gz,audiobook_6_1,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_6_1_envelope.npy,53350,90,64_PUBLISHER_PIPELINE_NOT_PER_FILE_VERIFIED,UNKNOWN_NPY_HAS_NO_NAMES,UNKNOWN_NPY_HAS_NO_UNITS,HOLD,PAIR_LENGTH_MISMATCH,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-10_desc-preproc-audio-audiobook_6_2_eeg.npy,"(64, 53440)",float64,53440,64,0,0,EEG,sub-001_ses-shortstories01_task-listeningActive_run-10_eeg.bdf.gz,audiobook_6_2,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_6_2_envelope.npy,53339,101,64_PUBLISHER_PIPELINE_NOT_PER_FILE_VERIFIED,UNKNOWN_NPY_HAS_NO_NAMES,UNKNOWN_NPY_HAS_NO_UNITS,HOLD,PAIR_LENGTH_MISMATCH,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-01_desc-preproc-audio-audiobook_1_artefact_eeg.npy,"(64, 19328)",float64,19328,64,0,0,EEG,sub-002_ses-shortstories01_task-listeningActive_run-01_eeg.bdf.gz,audiobook_1_artefact,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_1_artefact_envelope.npy,19223,105,64_PUBLISHER_PIPELINE_NOT_PER_FILE_VERIFIED,UNKNOWN_NPY_HAS_NO_NAMES,UNKNOWN_NPY_HAS_NO_UNITS,HOLD,PAIR_LENGTH_MISMATCH,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-04_desc-preproc-audio-audiobook_2_1_eeg.npy,"(64, 50752)",float64,50752,64,0,0,EEG,sub-002_ses-shortstories01_task-listeningActive_run-04_eeg.bdf.gz,audiobook_2_1,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_2_1_envelope.npy,50619,133,64_PUBLISHER_PIPELINE_NOT_PER_FILE_VERIFIED,UNKNOWN_NPY_HAS_NO_NAMES,UNKNOWN_NPY_HAS_NO_UNITS,HOLD,PAIR_LENGTH_MISMATCH,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-05_desc-preproc-audio-audiobook_2_2_eeg.npy,"(64, 50752)",float64,50752,64,0,0,EEG,sub-002_ses-shortstories01_task-listeningActive_run-05_eeg.bdf.gz,audiobook_2_2,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_2_2_envelope.npy,48747,2005,64_PUBLISHER_PIPELINE_NOT_PER_FILE_VERIFIED,UNKNOWN_NPY_HAS_NO_NAMES,UNKNOWN_NPY_HAS_NO_UNITS,HOLD,PAIR_LENGTH_MISMATCH,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-06_desc-preproc-audio-audiobook_6_1_eeg.npy,"(64, 53440)",float64,53440,64,0,0,EEG,sub-002_ses-shortstories01_task-listeningActive_run-06_eeg.bdf.gz,audiobook_6_1,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_6_1_envelope.npy,53350,90,64_PUBLISHER_PIPELINE_NOT_PER_FILE_VERIFIED,UNKNOWN_NPY_HAS_NO_NAMES,UNKNOWN_NPY_HAS_NO_UNITS,HOLD,PAIR_LENGTH_MISMATCH,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-11_desc-preproc-audio-audiobook_4_eeg.npy,"(64, 52224)",float64,52224,64,0,0,EEG,sub-002_ses-shortstories01_task-listeningActive_run-11_eeg.bdf.gz,audiobook_4,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_4_envelope.npy,52060,164,64_PUBLISHER_PIPELINE_NOT_PER_FILE_VERIFIED,UNKNOWN_NPY_HAS_NO_NAMES,UNKNOWN_NPY_HAS_NO_UNITS,HOLD,PAIR_LENGTH_MISMATCH,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-003/ses-shortstories01/sub-003_ses-shortstories01_task-listeningActive_run-07_desc-preproc-audio-audiobook_4_eeg.npy,"(64, 52224)",float64,52224,64,0,0,EEG,sub-003_ses-shortstories01_task-listeningActive_run-07_eeg.bdf.gz,audiobook_4,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_4_envelope.npy,52060,164,64_PUBLISHER_PIPELINE_NOT_PER_FILE_VERIFIED,UNKNOWN_NPY_HAS_NO_NAMES,UNKNOWN_NPY_HAS_NO_UNITS,HOLD,PAIR_LENGTH_MISMATCH,ALL_SAMPLES
