story,data_dict_path,envelope_path,source_aliases,status,error,in_save_metadata,corresponding_envelope_exists,exact_story_eeg_references,published_envelope_sr,envelope_samples,raw_trigger_sr,raw_stimulus_samples,trigger_count,first_trigger_s,last_trigger_s,envelope_matches_data_dict,publisher_steps
audiobook_1,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_1.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_1_envelope.npy,audiobook_1.npz;audiobook_1.npz.gz,PASS_STIMULUS_PROVENANCE,,True,True,78,64.0,59958,48000.0,44967811,938,0.0,936.828375,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
audiobook_10_1,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_10_1.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_10_1_envelope.npy,audiobook_10_1.npz,PASS_STIMULUS_PROVENANCE,,True,True,4,64.0,39391,48000.0,29542531,617,0.0,615.468375,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
audiobook_10_2,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_10_2.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_10_2_envelope.npy,audiobook_10_2.npz,PASS_STIMULUS_PROVENANCE,,True,True,4,64.0,41695,48000.0,31270531,653,0.0,651.468375,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
audiobook_11_1,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_11_1.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_11_1_envelope.npy,audiobook_11_1.npz,PASS_STIMULUS_PROVENANCE,,True,True,2,64.0,50649,48000.0,37986299,793,0.0,791.3802083333334,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
audiobook_11_2,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_11_2.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_11_2_envelope.npy,audiobook_11_2.npz,PASS_STIMULUS_PROVENANCE,,True,True,2,64.0,38105,48000.0,28578299,597,0.0,595.3802083333334,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
audiobook_12_1,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_12_1.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_12_1_envelope.npy,audiobook_12_1.npz,PASS_STIMULUS_PROVENANCE,,True,True,7,64.0,42239,48000.0,31679138,661,0.0,659.9810208333333,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
audiobook_12_2,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_12_2.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_12_2_envelope.npy,audiobook_12_2.npz,PASS_STIMULUS_PROVENANCE,,True,True,8,64.0,48639,48000.0,36479138,761,0.0,759.9810208333333,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
audiobook_13_1,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_13_1.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_13_1_envelope.npy,audiobook_13_1.npz,PASS_STIMULUS_PROVENANCE,,True,True,6,64.0,64094,48000.0,48070021,1003,0.0,1001.45775,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
audiobook_13_2,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_13_2.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_13_2_envelope.npy,audiobook_13_2.npz,PASS_STIMULUS_PROVENANCE,,True,True,6,64.0,54494,48000.0,40870022,853,0.0,851.4577708333334,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
audiobook_14_1,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_14_1.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_14_1_envelope.npy,audiobook_14_1.npz,PASS_STIMULUS_PROVENANCE,,True,True,22,64.0,67344,48000.0,50507442,1054,0.0,1052.2373541666666,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
audiobook_14_2,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_14_2.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_14_2_envelope.npy,audiobook_14_2.npz,PASS_STIMULUS_PROVENANCE,,True,True,22,64.0,73488,48000.0,55115442,1150,0.0,1148.2373541666666,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
audiobook_1_1,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_1_1.data_dict,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_1_1_envelope.npy,audiobook_1_1.npz,PASS_STIMULUS_PROVENANCE,,True,True,3,64.0,29275,48000.0,21955710,459,0.0,457.40958333333333,True,LoadStimuli;GammatoneEnvelope;ResamplePoly
